set TOWNS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;

param distances (tr):
	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 :=
1 	0	227	219	209	183	126	145	93	126	232	121	74	32	209	134	117	174	188	177
2 	0	0	424	117	180	167	84	306	284	436	323	253	224	330	346	206	330	309	219
3 	0	0	0	428	402	257	325	209	148	87	105	174	251	208	129	336	126	178	267
4 	0	0	0	0	69	237	156	272	335	441	328	282	211	397	351	135	383	378	288
5 	0	0	0	0	0	222	158	204	309	407	296	257	151	391	283	66	357	372	275		
6 	0	0	0	0	0	0	85	219	117	309	198	84	146	163	222	217	158	142	51
7 	0	0	0	0	0	0	0	238	198	352	241	151	151	246	265	167	243	227	137	
8 	0	0	0	0	0	0	0	0	172	193	105	150	82	274	92	138	220	253	270
9 	0	0	0	0	0	0	0	0	0	198	113	51	158	100	137	245	48	80	124
10 	0	0	0	0	0	0	0	0	0	0	111	225	264	275	135	343	193	253	335
11 	0	0	0	0	0	0	0	0	0	0	0	114	151	211	24	232	129	180	227
12 	0	0	0	0	0	0	0	0	0	0	0	0	106	135	138	191	100	114	124
13 	0	0	0	0	0	0	0	0	0	0	0	0	0	241	154	85	208	222	198
14 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	327	82	19	116
15 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	153	214	251
16 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	307	261
17 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	141
18 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	;

